Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
1.412	Moved	1290	854
1.413	Moved	1292	854
1.414	Moved	1293	854
1.415	Moved	1294	854
1.416	Moved	1295	854
1.417	Moved	1297	854
1.418	Moved	1298	854
1.419	Moved	1299	853
1.42	Moved	1301	853
1.421	Moved	1302	853
1.422	Moved	1304	853
1.423	Moved	1305	853
1.424	Moved	1306	853
1.425	Moved	1308	853
1.426	Moved	1309	853
1.427	Moved	1311	853
1.428	Moved	1312	853
1.429	Moved	1313	853
1.43	Moved	1315	852
1.431	Moved	1316	852
1.432	Moved	1317	852
1.433	Moved	1319	852
1.434	Moved	1320	852
1.435	Moved	1322	852
1.436	Moved	1323	852
1.437	Moved	1325	852
1.438	Moved	1326	852
1.439	Moved	1327	852
1.44	Moved	1329	852
1.441	Moved	1330	852
1.442	Moved	1332	852
1.443	Moved	1333	852
1.444	Moved	1335	851
1.445	Moved	1336	851
1.446	Moved	1337	851
1.447	Moved	1339	851
1.448	Moved	1340	851
1.449	Moved	1341	851
1.45	Moved	1343	851
1.451	Moved	1344	851
1.452	Moved	1346	851
1.453	Moved	1347	851
1.454	Moved	1348	851
1.455	Moved	1350	851
1.456	Moved	1351	851
1.457	Moved	1352	851
1.458	Moved	1353	851
1.459	Moved	1355	850
1.46	Moved	1356	850
1.461	Moved	1357	850
1.462	Moved	1359	850
1.463	Moved	1360	850
1.464	Moved	1361	850
1.465	Moved	1363	850
1.466	Moved	1364	850
1.467	Moved	1365	850
1.468	Moved	1366	850
1.469	Moved	1368	850
1.47	Moved	1369	849
1.471	Moved	1370	849
1.472	Moved	1371	849
1.473	Moved	1373	849
1.474	Moved	1374	849
1.475	Moved	1375	849
1.476	Moved	1376	848
1.477	Moved	1377	848
1.478	Moved	1379	848
1.479	Moved	1380	847
1.48	Moved	1381	847
1.481	Moved	1382	847
1.482	Moved	1383	847
1.483	Moved	1384	846
1.484	Moved	1385	846
1.485	Moved	1386	846
1.486	Moved	1387	845
1.487	Moved	1388	845
1.488	Moved	1389	844
1.489	Moved	1390	844
1.49	Moved	1391	843
1.491	Moved	1392	843
1.492	Moved	1393	842
1.493	Moved	1394	841
1.494	Moved	1395	840
1.495	Moved	1396	839
1.496	Moved	1396	838
1.497	Moved	1397	838
1.498	Moved	1398	837
1.499	Moved	1399	836
1.5	Moved	1399	835
1.501	Moved	1400	835
1.502	Moved	1400	833
1.503	Moved	1401	832
1.504	Moved	1402	831
1.505	Moved	1402	830
1.506	Moved	1403	829
1.507	Moved	1403	828
1.508	Moved	1404	826
1.509	Moved	1404	825
1.51	Moved	1405	824
1.511	Moved	1405	822
1.512	Moved	1405	821
1.513	Moved	1406	819
1.514	Moved	1406	818
1.515	Moved	1406	816
1.516	Moved	1407	814
1.517	Moved	1407	813
1.518	Moved	1407	811
1.519	Moved	1407	809
1.52	Moved	1408	807
1.521	Moved	1408	806
1.522	Moved	1408	804
1.523	Moved	1408	802
1.524	Moved	1408	800
1.525	Moved	1408	798
1.526	Moved	1408	796
1.527	Moved	1408	794
1.528	Moved	1408	792
1.529	Moved	1408	790
1.53	Moved	1408	789
1.531	Moved	1408	787
1.532	Moved	1407	785
1.533	Moved	1407	782
1.534	Moved	1406	780
1.535	Moved	1406	778
1.536	Moved	1405	777
1.537	Moved	1405	775
1.538	Moved	1405	773
1.539	Moved	1404	771
1.54	Moved	1403	769
1.541	Moved	1403	767
1.542	Moved	1402	765
1.543	Moved	1402	764
